turkish,english
ortak,partner
tip,medicine
görüntü,image
beri,since
ders,lesson
başkan,Minister
karşılık,opposite
kurtulmak,to be saved
numara,number
defa,times
edilmek,be on
batı,West
fark etmek,to notice
herhangi bir,any
sinema,cinema
değişik,strange
hedef,aim
uyumak,to sleep
dost,friend
yanmak,burn
anlayış,understanding
asıl,Royal
basmak,print
kenar,edge
kontrol,control
çevirmek,flip
din,religion
güçlü,strong
henüz,yet
plan,plan
beyin,brain
elektrik,electric
karı,wife
üstünde,above
et,meat
sağlanmak,be provided
söylenmek,be told
çizgi,line
uç,fly
üye,member
cilt,skin
ruh,soul
sevgili,Dear
yaklaşmak,approach
süreç,period
bakış,view
bilim,science
ileri,Further
ifade,expression
beden,Body size
hatırlamak,to remember
kaza,accident
iyice,thoroughly
dağ,Mountain
kapatmak,to close
adım,my name
ciddi,serious
çözüm,solution
etkilemek,to influence
belediye,Council
gelişme,development
seçim,vote
ağlamak,to cry
bağlı,connected
kavram,concept
artırmak,increase
faaliyet,activity
zarar,damage
derin,deep
salon,living room
çeşit,sort
kesilmek,cut off
seyretmek,watch
birden,suddenly
içermek,contain
sayılmak,be counted
toplamak,to collect
aşmak,exceed
bağırmak,to shout
sorumluluk,responsibility
davranmak,to behave
mektup,letter
soğuk,cold
canlı,live
idi,was
makine,machine
yararlanmak,benefit
yaşlı,old
boş,empty
acaba,rave
maç,match
yönetici,executive
getirilmek,be brought
metre,metre
tutulmak,be kept
kalite,quality
bitki,Herb
değişiklik,change
ilaç,medicine
kredi,credit
yasa,live
başarılı,successful
birer,on
imkan,facility
ceza,punishment
her şey,everything
incelemek,to examine
top,ball
uzman,expert
doldurmak,to fill
kanal,channel
mekân,place
uymak,to suit
yıllık,yearly
dolayısıyla,therefore
yazılmak,writ out
ait,belonging
parmak,finger
saymak,to count
atılmak,go on
belirlemek,to determine
normal,normal
hele,stewardous
ilke,principle
kırmızı,Red
rol,role
şarkı,song
eleman,Workman
hazır,ready
benzemek,to resemble
bir şey,Something
hoca,teacher
boy,size
günlük,daily
politika,policy
suç,crime
niye,why
sahne,scene
sokmak,sting
adet,number
koltuk,armchair
kurtarmak,to save
sanatçı,artist
tercih etmek,to prefer
uzanmak,to lie down
aşama,stage
eklemek,to add
orman,Forest
ayırmak,to separate
düzen,order
faiz,interest
genellikle,Generally
her zaman,anytime
hikaye,story
hücre,cell
ora,ora
roman,novel
vergi,tax
yakmak,burn
ağabey,brother
basın,Press
destek,support
giymek,to wear
hata,error
sınır,boundary
birlik,unity
eser,work
karşılamak,to meet
yarı,half
yeterli,sufficient
birey,individual
karanlık,dark
otobüs,bus
sanayi,industry
bebek,baby
vatandaş,citizen
bakan,minister
kere,times
millet,people
reklam,advertisement
yükselmek,rise
boyut,dimension
dergi,magazine
enflasyon,inflation
sosyal,social
birisi,someone
geçmiş,past
hastahane,patient
olma,being
toplantı,meeting
gazeteci,journalist
içerisi,inside
inanç,belief
nitelik,qualification
üzeri,over
bitirmek,finish
gerçekleşmek,take place
giriş,login
rahat,comfortable
toplam,total
beraber,together
dükkan,shop
gizli,hidden
benzer,similar
deri,skin
dönüşmek,convert
mücadele,struggle
problem,problem
servis,service
tedavi,treatment
yeşil,green
bakanlık,ministry
baskı,oppression
tepki,reaction
cümle,sentence
dilemek,wish
özgürlük,freedom
gene,again
kimlik,identity
mesele,issue
üçüncü,third
belirlenmek,determinate
değerlendirmek,to evaluate
ilginç,interesting
sürücü,driver
süt,milk
yakalamak,to capture
eşya,goods
uluslararası,international
aday,candidate
ağırlık,weight
milyar,billion
sağlıklı,healthy
sıkıntı,problem
Tanrı,God
tavır,attitude
toplumsal,social
yayın,broadcasting
dikkat etmek,to be careful
son derece,extremely
toplanmak,collect
yatırım,investment
hafif,light
karışmak,interfere
tehlike,danger
vakit,time
daire,circle
fırsat,opportunity
işlemek,handle
karıştırmak,to mix up
katkı,contribution
öykü,story
tamamen,completely
uçak,aeroplane
yanıt,response
doğa,nature
evlenmek,to marry
burun,nose
çıkar,interest
elbette,of course
işçi,employee
işletme,business
kısaca,briefly
mağaza,shopping centre
medya,media
yüzünden,because
artış,increase
çıkarılmak,remove
kamu,public
sigorta,insurance
yaz,summer
yürek,heart
belge,document
çaba,effort
her gün,every day
ifade etmek,to express
risk,risk
söz etmek,mention
sözcük,word
demokrasi,democracy
tuz,salt
cami,mosque
çağ,age
düşük,low
etraf,around
hızla,quickly
olanak,possibility
organ,organ
öldürmek,kill
öteki,other
sene,year
bozulmak,break up
ilgilenmek,be interested in
meyve,fruit
takılmak,to hang around
tatlı,sweet
bacak,leg
değişim,change
kanun,law
rüzgar,wind
cumhuriyet,republic
geliştirmek,develop
tarz,style
yedi,seven
azalmak,decrease
bağlamak,connect
cep telefonu,mobile phone
iletişim,Contact
müdür,manager
otel,hotel
yayımlanmak,release
zevk,pleasure
binmek,to get on
güvenlik,security
hukuk,law
kılmak,render
modern,modern
okur,reader
silah,weapon
talep,request
yıldız,star
yoğun,busy
asker,soldier
basit,simple
denilmek,be called
gaz,gas
uygulama,application
üretilmek,produce
beyan,declaration
besin,food
dün,yesterday
görüşmek,to meet
yaklaşık,approximately
alışveriş,shopping
bilinç,consciousness
çerçeve,frame
lazım,required
mevcut,available
tüketici,consumer
uzatmak,to lengthen
yönelik,intended
at,horse
bağlanmak,connect
mesela,for example
neredeyse,almost
site,site
yardımcı olmak,help
abla,older sister
çiçek,flower
hepsi,all
saygı,respect
ücret,fee
yetenek,talent
kilo,weight
paylaşmak,to share
sert,hard
yanı sıra,Besides the
çay,tea
gider,expense
kesin,definite
zengin,rich
asla,never
laf,word
örgüt,organization
ticaret,trade
yaptırmak,have it made
boyun,neck
cihaz,device
denge,balance
giderek,increasingly
sırt,back
dolayı,because
kahve,coffee
kas,eyebrow
meclis,council
öteki,other
uğraşmak,to strive
adres,address
belirtilmek,indicate
paşa,Pasha
sıcaklık,heat
tamam,OK
güven,confidence
marka,brand
yaprak,leaf
yarar,benefit
yayılmak,spread
akmak,flow
çizmek,to draw
düşünülmek,be considered
gönül,heart
hayal,dream
ilerlemek,to go forward
şarap,wine
yukarıda,above
altın,gold
düzenlemek,to organise
satın almak,Purchasing
sunulmak,present
temiz,clean
vitamin,vitamin
ek,additional
geç,LAT
hareket etmek,act
yumurta,egg
aşırı,extreme
eylem,action
istenmek,be desired
kesim,cut
kriz,crisis
birim,unit
kapanmak,close
